text,label
mike traumatic season parent hospital little sister missing girlfriend going upside forever like closed ... lot,-1
"bad yall. wth writing, pacing volume bad too. bored till jonathan nancy scene shouldve died scene but didnt. literally 0 stake dumb show. main character plot armor.",-1
not single shot final episode,0
rated j jesus box office blasphemy hollywood cant stop saying name,0
hollyweird ever stop attacking christianity. blasphemy season burned ears. disgusting evil. believe story hear hollyweird. satanist,-1
watching finale room 31st mum drag church,0
netflix ruined series glorifying homosexuality. disgrace.,-1
watching volume 2 realize 3 episodes... wtf happens finale,0
"watching it, realized welcome derry better series full agenda",0
season disappointment far. karen arch good thing it!i think headed finale got...,-1
"confession lame powerful badly acted, actor dialogue could better thats huge crux storyline",-1
"holly played major key role season, took limelight regular cast el far less screentime but guess finale williamsteveeddie maxholly, best team season",1
"release date fake, still not out.",-1
stupid! spent 10 minute kid cry could say gay. america. fool,-1
"die, die. guess netflix ! subscription die ..........",-1
nancy think shes arniewill fruity two shoesrobyn confused moron talk much television everthe rest master downing shit burgerswhat absolute shit show turned,-1
shit show,-1
whole volume cry eye mix excitement. beginning end everything. expect major emotional moment finale well lot things.,1
"finishing volume 2 realizing fact actually holly falling sky, messed poor girl enough.",-1
watch know finale,0
bro not even single clip last episode suppose waittttttttttt,-1
"holy shit watch just. vol 2. worm hole science included awesome. amazing. cant say much amazing. upside dream asal vo myth nikla . actually reason tho dark matter tha jo wall ko attract kr ke roke hue tha . .that blow scifi idea. aur aisi movie arts,commerce etc wale ke palle nhi padne wala ....as science student say this.",1
heard vecna say time...for new world. yet?,0
3v1 lifetime,0
not single clip finale..,-1
season called last one? sure vecna defeated everything restored season? estimated vecna powerful way defeat season 6......one season....please,-1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too.,1
please release finale indian cinema too. ive heard released cinema u,1
please release finale indian cinema too.,1
will gay theme really bring series me. obvious addressed several episode scene throughout series. kicking dead horse. waste episode.,-1
actress kali forgot act volume 2 reciting dialogue without invoking emotion,-1
wait episode 8,0
honestly max stole show season.fkn amazing acting,1
stranger thing based genocyber?,0
gonna talk abt ho 0 vids ep 8...,0
"so... canceled nf subscription... apparently, according story, accepting gay key saving th universe wish joking",-1
three episode stranger thing noooo,-1
volume 2 saving max vecna,0
ever directed season 5 sentenced prison life,-1
feel like im way passionate series boring writing.,-1
guy dropped ball bigtimesetting first half like completely throw away crazy. like wanted end show worst possible way lolwhy yo force dei us? bad enough robin entire character beinggay but too? doesnt matter happens last episode completely sucked ruined show. hollywood always ruin everything.,-1
tf thought holly falling,-1
underwhelming sure,-1
"there two scene finale first trailer, one none",-1
"nancy always stupid person proved right. one people think brave correct, know doing, although wrong, something great. god feel good let watching s5 e5",0
"yall tweakers, wasnt eddie falling sky",-1
keep making better better everytime!???i cried much eye hurt,1
spoiler lucas one spartan,0
"penultimate episode full different emotions! ive kind person who, since childhood, watch movies, listens music, play games, im there, side screen, experience everything along characters. ive developed habit pausing show sitting while, thinking, digesting ive heard seen, containing emotions.god, even plot line end completely unexpected way me, ill still overjoyed, or, contrary, ill weep like last creature earth, but ill incredibly grateful universe creator watched divine series!i pray goodness, unbreakable health, happiness, blessing everyone created starred seriesits miracle! ... p.s. heartfelt thank ordinary, mortal viewer russia!",1
"let everyone know, not single clip episode 8 trailer wtfff would happen episode 8 no idea look insane",-1
woke crap didnt think duffer br would but,-1
"finished watching volume 2. me, anyone else disappointed volume 2? really hoping final episode make it.",-1
whats side? ...death chill,-1
dustin right. everything upside knew wrong,0
"idk me, but need voice this. really hate typical hero stuff, forever stereotype hero never recognized hated criticized public extent become runaway outcast but still put cloak hat save people hate them. mean, come eleven perceived enemy since season 1, always run one other. even last season, still hasnt gained recognition anyone except friend new friend goup ie robin max. watching hunted like dangerous villain earth no resident hawkins know good way meanwhile girl working head save friends, hawkins world point doesnt even rest, what? freak?? cant sit right one, personally",-1
"vol 2 cant match like v1 !!! disappointing.,....",-1
came back byler officially dead,-1
there nothing finale not single clip,-1
millie bobby brown terrible acting wow,-1
11 8 gonna die,-1
hate kaliiii,-1
another 5 day wait finale absolutely disgusting,-1
volume 2 letdown! like wth duffer brother hyped much. noah acting lumax good thing. coming half hawkins joke,-1
trailer better entire season.,1
show shouldve ended way earlier...,-1
underwhelming vol 2.,-1
who finishing volume 2?,0
0025 reminds peacemaker,0
yall hating volume 2 btw,-1
hot take vol 2 flawed but incredibly overhated,-1
yaay,1
checked scene vol 2. no new one finale!,0
gun shot music,0
byers cringe,-1
"derek,holly sadie scene interesting",1
hate making gay duffer brother,-1
came watching vol 2,0
watching volume 2,0
no vi el beso de mike,0
hell no clue finale trailer?,-1
who find scene finale episode?,0
nancy pulling insane kda...,0
kid ate mcdonalds growing hormone injected chicken look like adult,-1
vol 2,0
011,0
"disappointed lot also didnt like season 4 thought gonna make something awesome season but like soup dont think gonna save whole season finale episode. dont know, childhood deserved better",-1
watched s5s57,1
"015 wait rest entered tunnel sorcerer. mean since max holly travel vecnas mind memory must mean travel wills, right? also key moment right robin give speech leading getting powers. think escape will mind.",0
rewatching trailer realizing not single clip finale,0
die die plssssss no,-1
rewatching trailer watched volume 2,0
karen best st character ever?,0
duffer brother right. theory wrong except maybe wormhole but nothing time jump.,-1
finished volume 2 soo.... everything going happen final episode!,-1
damn trailer better vol 2...,1
"saw end avenger era, approaching end stranger thing era.",0
volume 1 volume 2 volume 2 disappointed,-1
"not single scene trailer new year eve episode, omg, guy planningggggg",-1
back watching vol2. not even single shot ep8.,0
