,comment_id,author,text,likes,published_at,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,vader_label,roberta_label,pipeline_label
0,UgwoiJ6zDlEHgNHbKHl4AaABAg,@SalekaAsuna,Mike is the most traumatic in this season his parents are in hospital his little sister is missing and his girlfriend is going to be in the upside down forever and he is like closed of with will ... A lot more,0,2025-12-27T02:17:44Z,0.128,0.818,0.054,-0.5314,0.9719001054763794,0.02593533881008625,0.0021644881926476955,negative,negative,negative
1,UgyXJRcSbn74ajhkmBN4AaABAg,@tofuzu,"this was so bad yall. wth was that writing, the pacing for this volume was so bad too. I was so bored till the jonathan / nancy scene and they should've died in that scene but they didnt. there are literally 0 stakes in this dumb show. All the main characters have plot armor.",0,2025-12-27T02:13:56Z,0.278,0.722,0.0,-0.946,0.9750257730484009,0.022050412371754646,0.0029237912967801094,negative,negative,negative
2,UgzhXrqNFCkMLMOB6dh4AaABAg,@JD-xn1cx,Not a single shot from final episode,0,2025-12-27T01:51:33Z,0.0,1.0,0.0,0.0,0.3901469111442566,0.5793944001197815,0.030458778142929077,neutral,neutral,negative
3,UgxQPzUbRC8ECcXroFF4AaABAg,@ravenr876,Rated J for Jesus: A Box Office Blasphemy – Hollywood Can’t Stop Saying His Name,0,2025-12-27T01:35:21Z,0.167,0.833,0.0,-0.296,0.29947230219841003,0.5926295518875122,0.10789817571640015,negative,neutral,positive
4,UgzQIyIMuD3WZha30dd4AaABAg,@ravenr876,Does Hollyweird ever stop attacking Christianity. The blasphemy in this season burned my ears. Disgusting and evil. I now believe the stories I hear about Hollyweird. Satanist,0,2025-12-27T01:30:37Z,0.382,0.618,0.0,-0.9186,0.9727163910865784,0.02482970803976059,0.0024539099540561438,negative,negative,positive
5,UgyChZr1Zs9Sti18L7t4AaABAg,@JoySholola-jk8yv,I be watching the finale in my room on the 31st so my mum will drag me to church,0,2025-12-27T00:59:36Z,0.101,0.899,0.0,-0.2263,0.12538743019104004,0.7345704436302185,0.14004209637641907,negative,neutral,negative
6,UgyzIyT2K-bCx484XtF4AaABAg,@mehmetosun,Netflix ruined this series by glorifying homosexuality. It's a disgrace.,1,2025-12-27T00:55:26Z,0.401,0.382,0.217,-0.4404,0.9828710556030273,0.01493814866989851,0.0021907927002757788,negative,negative,negative
7,UgwwcKMnIyCnECCK5bR4AaABAg,@BiancaDuziQuaresma,so after watching volume 2 I realize that this is all in those 3 episodes... wtf happens in the finale,1,2025-12-27T00:55:09Z,0.192,0.808,0.0,-0.5859,0.2543623149394989,0.691333532333374,0.05430411919951439,negative,neutral,negative
8,UgwxrrpnjbZiYycH4st4AaABAg,@amazghi,"After watching it, I realized that Welcome to Derry is better than this series is full of agendas 🤏",0,2025-12-27T00:49:24Z,0.0,0.718,0.282,0.7096,0.19478768110275269,0.408272922039032,0.39693936705589294,positive,neutral,negative
9,UgzRAlaCuNAwYKIzNrN4AaABAg,@r0863,"This season is such a disappointment so far. Karen's arch is the only good thing about it!
I think we're headed to the same finale as GoT...",4,2025-12-26T23:35:04Z,0.122,0.78,0.098,-0.1759,0.7117346525192261,0.21466732025146484,0.07359804213047028,negative,negative,negative
10,Ugx9km_vGK1FwqwJdIR4AaABAg,@SaifKarim-g4g,"Will confession was lame than powerful and badly acted, the actor and dialogue could do more better if that's such a huge crux of their storyline",4,2025-12-26T22:16:20Z,0.173,0.585,0.243,0.3384,0.7563342452049255,0.2193097174167633,0.024356095120310783,positive,negative,negative
11,UgyGlaZ7SaruYhN5ID14AaABAg,@SaifKarim-g4g,"Holly played major key role this season, took all the limelight from the regular casts and El so far had the less screentime but guess finale will be all about her and William

Steve-Eddie and Max-Holly, the best teams of the season",2,2025-12-26T21:50:03Z,0.0,0.842,0.158,0.8176,0.01119701936841011,0.166946679353714,0.8218563199043274,positive,positive,positive
12,UgyJ9M-8hzQlKxu9G2l4AaABAg,@stijnvdheiden160,"The release date is fake, it's still not out.",1,2025-12-26T21:49:14Z,0.279,0.721,0.0,-0.4767,0.8282024264335632,0.1623978465795517,0.00939969252794981,negative,negative,negative
13,Ugy5BWigcEaw529KRZ14AaABAg,@Steel_Ace,So stupid! Spent 10 minutes on a kid crying so he could say he was gay. Only in America. Fools,8,2025-12-26T21:02:35Z,0.391,0.609,0.0,-0.883,0.9686417579650879,0.02801433950662613,0.0033439688850194216,negative,negative,negative
14,UgzNVtvthvERHHJ4Pnh4AaABAg,@anshulashutoshranjan5249,"You Die, I die. Guess what Netflix ! My subscription will die with that ..........",1,2025-12-26T20:59:43Z,0.545,0.455,0.0,-0.9184,0.8501439094543457,0.12768955528736115,0.022166471928358078,negative,negative,negative
15,Ugz4vZ_JE4sypYN5Yj94AaABAg,@danielshepard7357,"Nancy thinks she's Arnie
Will is such a fruity two shoes
Robyn is the most confused moron that talks too much on television EVER
The rest of them are just masters at downing shit burgers
What an absolute shit show they turned this in to",1,2025-12-26T20:39:40Z,0.249,0.751,0.0,-0.9227,0.9650084376335144,0.030934583395719528,0.004056965466588736,negative,negative,negative
16,UgyEmwz5HP_tN8JAlOB4AaABAg,@danielshepard7357,What a shit show 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1,2025-12-26T20:35:46Z,0.545,0.455,0.0,-0.5574,0.9434043169021606,0.04598572850227356,0.010609978809952736,negative,negative,negative
17,Ugwa9-URSP0P7oEHNGF4AaABAg,@jackraider1039,This whole volume had me crying my eyes out with a mix of excitement. And this is the beginning of the end of everything. I can expect some major emotional moments in the finale as well as a lot of other things.,6,2025-12-26T20:21:48Z,0.069,0.778,0.153,0.4215,0.057400986552238464,0.21088367700576782,0.7317153811454773,positive,positive,positive
18,UgxiyCWEAydjhqTK2GF4AaABAg,@mmMORPHEUSss,"After finishing Volume 2 realizing the fact that it was actually Holly who was falling from the sky, it is so messed up poor girl has been enough.",1,2025-12-26T20:07:48Z,0.252,0.748,0.0,-0.7952,0.9340763092041016,0.061997368931770325,0.003926280420273542,negative,negative,negative
19,UgwSWx5v7PpZECQWz_Z4AaABAg,@Itsalwaysdanishjaipar,Watch it to know about the finale 📈,0,2025-12-26T19:38:45Z,0.0,1.0,0.0,0.0,0.036706745624542236,0.8817374110221863,0.0815558135509491,neutral,neutral,positive
20,UgxnD0_uuSYb2BZcAJ94AaABAg,@lovefordrawing866,Bro there is not even a single clip for the last episode how am I suppose to waittttttttttt😩😩😩,1,2025-12-26T19:24:00Z,0.0,1.0,0.0,0.0,0.8141465783119202,0.15986976027488708,0.025983622297644615,neutral,negative,negative
21,UgzAYRIOJNZsG01GSzF4AaABAg,@RajkumariSharma-p2n,"Holy Shit : I just watch just.  Vol 2.  Worm Hole Science included in this is Very Awesome. Just Amazing. I can't say how much amazing. 

The Upside down dream - Asal me Vo Myth nikla . Actually Reason tho Dark matter tha jo Walls ko attract kr ke roke hue tha . 😮.
That Blow Scifi idea. 

Aur Aisi Movie Arts,Commerce etc Wale Ke palle Nhi padne wala ....as I am Science Student say this.",1,2025-12-26T19:01:36Z,0.043,0.743,0.214,0.9225,0.01509346067905426,0.07726144045591354,0.9076451659202576,positive,positive,positive
22,UgwvDp2o9gDR57X5eI54AaABAg,@rcrdfilms,"Have we heard Vecna say ""It is time...for a new world."" yet?",1,2025-12-26T18:54:11Z,0.0,1.0,0.0,0.0,0.07077939063310623,0.8179202675819397,0.11130034178495407,neutral,neutral,positive
23,UgzhppcBUo9wK_S_zB54AaABAg,@WHYTSBG,The 3v1 of a lifetime,3,2025-12-26T18:34:30Z,0.0,1.0,0.0,0.0,0.02167901210486889,0.7234318852424622,0.25488901138305664,neutral,neutral,positive
24,Ugwrc81XYynTpDoaM_14AaABAg,@pannerbiryani3002,Not a single clip from the Finale..,4,2025-12-26T18:17:37Z,0.0,1.0,0.0,0.0,0.5225719213485718,0.4481441080570221,0.029283953830599785,neutral,negative,negative
25,UgyAUq5Nnd6akBnuy5B4AaABAg,@vishnu.s.sankar2308,"Why this season is called the last one? How can you be so sure that vecna will be defeated and everything restored in this season? What if we under estimated vecna that he is so powerful and the only way to defeat him is on season 6😊.
.....






One more season....please😢😢😢",2,2025-12-26T17:42:03Z,0.099,0.748,0.152,0.5052,0.5718472003936768,0.35951006412506104,0.06864273548126221,positive,negative,negative
26,UgwTtQh3SC9nb9aOxS94AaABAg,@kaushaljianiket,Please Release the Finale in Indian Cinemas too. ❤💯,0,2025-12-26T17:29:57Z,0.0,0.777,0.223,0.3182,0.005779068451374769,0.32945436239242554,0.6647665500640869,positive,positive,positive
