manually_labelled_snetiment,comment_id,author,text,published_at,likes
positive,UgzQ_o-sx7vNjVg27oh4AaABAg,@two_shoes-t7x,I sure love getting dripfed different episodes🤠,2025-12-17T14:15:16Z,0
neutral,Ugye2D4eKojLGbDigLd4AaABAg,@thebestleaderinthefuture4851,"Whoever thinks Dustin and Steve won't die, let him come here with me",2025-12-16T06:22:43Z,23
positive,UgwtG7hViLuWR3-orUd4AaABAg,@savannahbanana7421,Can't wait,2025-12-15T16:47:21Z,1
positive,UgzD-G8scZ8C5LKD_qh4AaABAg,@vlogsandetc,HOLLY MAX NANCY AND EL ARE GOING TO SMOKE EVERYONE I FEEL IT,2025-12-15T22:58:27Z,1
positive,Ugwog5BI00mdosOUSS14AaABAg,@ContaMinha-t8c,AAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAA,2025-12-15T14:21:11Z,0
positive,UgxZK1g_b0TzLkUapOF4AaABAg,@JakeDodgehey,Peak show,2025-12-15T14:42:07Z,0
positive,UgyTiQo0qPm7wZyewDd4AaABAg,@ambersaintjoy4821,I'm ready but I'm also not ready at all,2025-12-15T14:40:53Z,0
positive,UgwMNTbxp33KWSJKasp4AaABAg,@ReezeGoingSenseless,"Trailer for Season 5, second half, first quarter, second trimester final bit. I remember when stuff came out and that was it.",2025-12-16T16:05:47Z,0
positive,UgwVVIXj3-C5i0SgyGh4AaABAg,@Gowthamat7,Blasttt🔥🔥🔥,2025-12-15T17:38:52Z,1
positive,Ugy27BO0rL6aTYdEmRh4AaABAg,@pkmplayer642,1:19 thats definitely dart,2025-12-15T15:30:17Z,0
neutral,Ugy7KfEwJK1Tt39tlCt4AaABAg,@averystroh5244,NO ROBIN GFFFFFFF NOOOOO,2025-12-15T15:21:27Z,0
neutral,UgxlV8eracz36aOT1BB4AaABAg,@andquanto5546,0:50  u still alive?!,2025-12-25T00:16:27Z,0
positive,UgzaShd4h4Hj6eHeY8J4AaABAg,@AlphaYT077,Goosebumps,2025-12-15T21:24:00Z,0
positive,UgzOVqEqn-EpCbyjmbh4AaABAg,@zeymaybe,Wdym upside down is what we think it is??,2025-12-15T15:27:56Z,0
positive,UgyfqOf_I5KKs3hcDRJ4AaABAg,@Ayman.Mohamed-11,1:36 THE DUO IS BACK !,2025-12-15T13:53:23Z,1
positive,Ugwg-i3CFaads7-ZjhZ4AaABAg,@Olivia-cp2jg,This is it guys,2025-12-15T23:54:46Z,0
neutral,UgzKYUkBAXZBV9uBw9J4AaABAg,@SuperstarKubz,Under 1 hour 🎉🎉,2025-12-15T14:26:38Z,0
neutral,Ugw18srRi-xt6xq6N4d4AaABAg,@davidwilliammalo,"“You die, I die” sorry what 😃",2025-12-15T15:01:01Z,0
neutral,UgxSnu_eDpsVM_x58gJ4AaABAg,@mayatysvr,EL❤,2025-12-15T14:18:01Z,1
positive,Ugx6XdF49EYK13qFSnR4AaABAg,@RichardJolly-q7p,I can’t wait for this to come out volume two,2025-12-15T15:50:20Z,0
neutral,UgySppiLT2cS7zLIri54AaABAg,@okipullup__ya,yeah steve is cooked,2025-12-15T17:00:10Z,0
positive,UgwgM6oVdqI_d_uExyl4AaABAg,@Aserxeditz7,CANT WAIT,2025-12-16T08:13:41Z,0
positive,Ugwmi5yz-gDXQAaH0R54AaABAg,@momokurdish838,Please release it right now don’t put it off for 10 days.,2025-12-15T14:10:10Z,0
positive,UgzOtWo2TVf0n6zxZwh4AaABAg,@PeterIzquierdo-n3g5u,peak,2025-12-17T01:09:55Z,1
positive,UgyBtHbv2TxEtZNdmUV4AaABAg,@Absolscoot,PEEEEEAK,2025-12-16T15:48:19Z,0
neutral,UgwscH1HbG8amb7e-ft4AaABAg,@Digital_Dynamite,Pls no Derek dying,2025-12-23T18:55:45Z,0
negative,UgwgtjocUcwagbH--sp4AaABAg,@BlackStarASMR,"Hiding a weak story behind special effects and Marvel superheroes won't save Stranger Things.
I miss season 1 vibes.",2025-12-15T15:48:49Z,0
neutral,UgwnPLTdElVIiR07xi54AaABAg,@cool4ever329,"Dustin seems to be hugging someone in denim and Steve was not wearing denim, so maybe one of the og kids, Mike when they reunite in the upside down",2025-12-15T17:31:52Z,0
neutral,UgxFta11-qW8v7Ts11Z4AaABAg,@aswinachu78,Don’t you dare to die,2025-12-15T18:58:22Z,0
positive,UgyrrHoGsJ8nvW6e9iJ4AaABAg,@rajnirajni3187,I'm Waiting For Vol 2 @ Stranger Things💀🌟😵🥳😵😵👰💗💗,2025-12-16T03:51:14Z,1
positive,UgwawNwCi-UvG59DMCl4AaABAg,@thisisneti,Epic!,2025-12-15T16:11:10Z,0
neutral,UgwQOuUIMyUQrzVTD-F4AaABAg,@ゲTattyゲ,W,2025-12-17T12:32:35Z,0
neutral,UgzFTRhloPP-6UiQQPh4AaABAg,@roberto-qy2ys,Se ve de la vecna,2025-12-16T19:51:31Z,0
neutral,UgyeFqsEPuFNKAUwKR54AaABAg,@monstergaming5668,"You both  die ,i die",2025-12-19T12:14:06Z,1
neutral,UgwlkOx0Owhp6JvrSEZ4AaABAg,@Gubgubbyboy,"37 minutes ago is insane, this entire thing is insane, what!?",2025-12-15T14:19:32Z,0
neutral,Ugyuk-9L5Cp-f2gIp0B4AaABAg,@NemesisVR19,Yo,2025-12-15T17:23:41Z,0
neutral,Ugz-tCuFj3S1LeDSCG14AaABAg,@ErikaRenee89,"YOU DIE, I DIE. i WILL RIOT IN THE STREETS OMG",2025-12-15T15:19:22Z,0
neutral,UgwexDBrCGNRHVYTTCd4AaABAg,@paghilumdihauy,hellllooooooooo early commenters,2025-12-15T13:43:58Z,0
neutral,UgyiT9JO6dR24gxdpyB4AaABAg,@Dinosaur_Ducky,AHHHHHHH,2025-12-16T00:08:32Z,0
positive,UgxO9JLJy9MXfRO_4zB4AaABAg,@kunalgautam8949,"The favorite ""You die I die"" duo giving me chills",2025-12-15T16:30:14Z,1
neutral,Ugwac9k6bGKGWRK2fB94AaABAg,@THATONEGUY-r2p-b8n,I was kinda hoping to see a byler moment 😭,2025-12-15T15:54:00Z,1
positive,UgymInrjA3mXvxfF8Tp4AaABAg,@PacificSeedBankseeds,This trailer just shattered my brain 😵‍💫 Can’t wait to see the gang back in Hawkins! 🍿👀,2025-12-16T21:41:13Z,0
neutral,UgwOYpi2_-WxsdY3KxV4AaABAg,@ahahkys,Nancy is definitely who she thinks she is,2025-12-17T13:15:16Z,1
positiive,Ugw3HPTUINGlh4ZNgAN4AaABAg,@Yesjad,I never regret watching this show,2025-12-15T19:00:13Z,0
positive,UgzZctlPEA57q1cU4FB4AaABAg,@iamdjm_66,So good,2025-12-22T05:06:35Z,1
neutral,UgzoHf9DeEuGbIP3GzF4AaABAg,@RisanthNalla,0:26 Anywhere door😅,2025-12-15T14:25:14Z,0
positive,UgzD2V8m3CT1uFEMhZl4AaABAg,@Mano_Aj,Goosebumps☺🥶,2025-12-15T14:09:32Z,0
neutral,Ugzgp-jQQf5eT3dyLTh4AaABAg,@Chawla001-i2r,Where's DELIGHTFUL DEREK??,2025-12-15T14:53:41Z,1
neutral,UgwD4ulzzOioi3RLmuh4AaABAg,@Chopinmybeloved,They're ALL so cooked guys😭😭😭😭,2025-12-15T14:10:39Z,0
neutral,UgxWTmqUP4Bw1HGEjnZ4AaABAg,@AlfieW1033,I’m worried about Robyn,2025-12-15T23:48:29Z,0
neutral,UgxowH12QPRSnwvg2wx4AaABAg,@Dynamitdreng307,imagine being the us army and being outdone by a group of 15 year olds.. over.. and over again..😭💔,2025-12-20T12:45:18Z,1
netural,UgzX0H-o-SV95jBDDmx4AaABAg,@CGNC,GET TED HIS BACON 🥓🥓🥓,2025-12-15T15:57:51Z,1
neutral,UgxbzFcCGYpeAoslsTh4AaABAg,@tubagida,that door in the middle of nowhere is a major The Dark Tower (SK) reference,2025-12-15T19:32:53Z,0
neutral,UgwLzkI_MmyNvPYwWdB4AaABAg,@pinky_kamath,What do u meannnnnnn u die i die😭,2025-12-16T10:38:49Z,0
neutral,UgwRDSyRkOOM55anQHF4AaABAg,@LesetjaShadung,Who did vecan bow to who,2025-12-16T04:05:17Z,0
neutral,UgybMa3QpXbuxTRjkVp4AaABAg,@nike5428,"@netflix
There should be cross over in the Netflix Universe with Stranger Things and Wednesday or even other series. That will be so cool.",2025-12-16T17:48:52Z,2
neutral,Ugyf5S95cgENOeNlKSN4AaABAg,@amazing_food-k7t,last ep Nancy die,2025-12-24T04:52:55Z,0
positive,UgxobFSQHxu_iPQAAn14AaABAg,@ABHIMANNUE_AP,Wohh peakk😭🔥,2025-12-15T17:06:49Z,0
netural,Ugy6zUiDoKji6cKgB9F4AaABAg,@jeremiahquintalla2919,Everyone dies just fyi,2025-12-16T14:39:52Z,0
neutral,Ugwa_36Y-7s_wO2POBd4AaABAg,@rajeshgohel9034,what if both dies?,2025-12-15T14:06:49Z,0
neutral,UgyqN5KXTMc8MjhCFY54AaABAg,@EkamDhillon-y5r,please release it fast i am dying to experience it 🤯😭,2025-12-15T14:25:42Z,0
neutral,UgzHW7y_k8BR6mitpNB4AaABAg,@ZeeChattha-h7m,1:41 Did non of y’all saw this. 🤯,2025-12-16T11:22:36Z,0
neutral,UgzOeoPVLP50i36yaLZ4AaABAg,@JonhBorn-p8x,Those who wanted to have also power Mike wheeler like eleven ❤,2025-12-17T02:01:46Z,0
neutral,UgzTKyPf3bIb8CpaF-54AaABAg,@aaronestrocio6764,"“You die, I die” 😢",2025-12-15T13:45:51Z,0
positive,UgwXgMUdgMmFC-jSjMN4AaABAg,@federico1989,how wonderful,2025-12-15T14:01:53Z,0
neutral,UgwK_FsT-aUru1foWLx4AaABAg,@Bharath.s_2701,0:26 anywhere door 🚪😂😂,2025-12-15T14:11:13Z,0
neutral,UgxrLldH6qseZ5YZz8R4AaABAg,@nemnogogoth,"""You die, I die""
YOU BETTER NOT TO DIE",2025-12-15T14:46:45Z,0
positive,Ugw3KYhmBoEU5OiDi8J4AaABAg,@peterkamondi3205,This is goin to be even PEAKER,2025-12-15T20:24:13Z,0
positive,Ugz5rw3QK2GHsiLAd7Z4AaABAg,@CamiTorres-v5i,Im sooooooo excited omagah❤,2025-12-16T02:23:41Z,0
positive,UgzpnQGz80dDGjfysSV4AaABAg,@Iconic.Mindset,Kinda sad this is the last season.. but also proud how far the show came🖤💯 I’m excited to see how it all comes together…,2025-12-15T17:11:12Z,2
positive,UgzqkgRCndRcWEqoGLN4AaABAg,@TheHalf-Blood_Prince74,Holly and Max’s dreamcore subplot is about to be fire,2025-12-15T23:11:12Z,0
negative,UgyMkT0S8N2dDHrRNPp4AaABAg,@VanHoering,That really was one season too much.,2025-12-16T02:14:16Z,0
positive,Ugz3WDdrDv-Wb6CKEGR4AaABAg,@RxR_Editzz,"""You Die I Die"" Steve and Dustin R so damn back 😭🛐 1:37 PLS DONT DIE 🙏",2025-12-15T14:17:18Z,0
positive,Ugyn3sISVRV0WZz9hmR4AaABAg,@Mona-f7h6e,MILEVEN ENDGAME OMGGG,2025-12-15T14:17:23Z,0
neutral,Ugxd7WeEzfBoMV8idcB4AaABAg,@R1CH3553,10 days to go (For where I live its 11 days at midnight),2025-12-15T14:25:19Z,0
negative,Ugza_umm8276OZu_0lB4AaABAg,@kalitavola332,Shut up @mareomadso,2025-12-15T23:39:10Z,0
neutral,UgxReVRiEWfr3WDrbgx4AaABAg,@adorbsxlemonshater,EARLY HOLY,2025-12-15T13:47:54Z,0
positive,Ugwfc6Gsg0XHWft1VpN4AaABAg,@vaggelis_kapesidis1734,First time i want christmas to come,2025-12-15T16:26:23Z,0
neutral,UgxNY2Su2HturskXFbR4AaABAg,@EvanProd33,No robins gf finna dieeee,2025-12-15T15:00:31Z,0
