,comment_id,text,published_at,roberta_neg,roberta_neu,roberta_pos,roberta_label,num_words
71,Ugz3Vr_GTVW-3T7Wo_54AaABAg,"존나 재밌어요,, 제발 아무도 죽이지마ㅜㅜ😢",2025-12-26T13:43:53Z,0.462163895368576,0.497059166431427,0.0407769419252872,neutral,5
141,Ugy56Au03cPoitDxWal4AaABAg,"me alegra tanto no haber visto el trailer antes del volumen 2, hubiera arruinado tantos momentos épicos.",2025-12-26T05:59:35Z,0.0930850505828857,0.8184338212013245,0.0884811505675315,neutral,17
181,Ugw2otDpuwhs2t5dAp14AaABAg,bhenchoodo krdo release 🙏🙏🙏🙏kyu tadpaai jane ah,2025-12-26T00:56:45Z,0.0053796963766217,0.3535014390945434,0.6411188244819641,positive,7
212,UgzhdBGrIozyWuzzMDV4AaABAg,ждем финал,2025-12-25T20:12:54Z,0.1880239248275756,0.7467082738876343,0.06526780128479,neutral,2
230,UgylxNNfkI0FJaxh8SV4AaABAg,é hojeeeeeeeeeeee!!!!11eleven1!!!!,2025-12-25T18:03:17Z,0.0350734554231166,0.4548438787460327,0.5100827217102051,positive,2
294,UgzwLsBRb5ci2BBUHJZ4AaABAg,it’s almost timeeee,2025-12-25T08:24:45Z,0.0066336463205516,0.2595953345298767,0.733771026134491,positive,3
373,UgwPxNyrL1C1rWvWsqx4AaABAg,🙏🙏,2025-12-24T14:51:51Z,0.0196048393845558,0.3223749697208404,0.6580201983451843,positive,1
576,Ugy1FjLATRK8fv4v2Q94AaABAg,vecna ki fielding set hai.,2025-12-23T06:07:42Z,0.2121283560991287,0.661340594291687,0.1265310794115066,neutral,5
587,Ugw_gDo2pYYQV-RaJsZ4AaABAg,"hay un poquito de video en tu spoiler, checa eso netflix",2025-12-23T03:24:29Z,0.0884356275200843,0.8343417644500732,0.0772226825356483,neutral,11
598,Ugyg9L7K6FqImAfGtk94AaABAg,nancy 🤟🏻🤟🏻🤟🏻,2025-12-23T00:20:36Z,0.0046696187928318,0.2292353361845016,0.7660951018333435,positive,2
614,UgypJYQupL696V8eQpt4AaABAg,noch nie so ein scheiss gesehen,2025-12-22T22:28:08Z,0.1704363673925399,0.7252219319343567,0.1043416336178779,neutral,6
618,UgxmiZ5s6GguC-GEhJJ4AaABAg,شبيصبرني؟!!,2025-12-22T21:27:15Z,0.195927545428276,0.7436883449554443,0.0603841580450534,neutral,1
638,UgwQ0yOkJ_CwdiP7f9Z4AaABAg,"vecna be like, ""is baar khtm hi kr duga""",2025-12-22T18:32:09Z,0.1794208884239196,0.749818742275238,0.0707603618502616,neutral,9
714,UgyWVNMYASzVYUihlLl4AaABAg,vecna hajai dedi mann,2025-12-22T09:16:33Z,0.1953896731138229,0.6837037205696106,0.120906613767147,neutral,4
731,UgykicMEIQjj9mo42t94AaABAg,halaaaaaaaaaa ikaw kasi eh,2025-12-22T06:11:20Z,0.1089273020625114,0.8104263544082642,0.0806463211774826,neutral,4
798,Ugz23ziQr0r_9g1btdp4AaABAg,como matéis o a dustin o a steve os denunció por depresión,2025-12-21T17:48:14Z,0.0926693081855773,0.872491717338562,0.0348390340805053,neutral,12
1074,UgzIbs2tAiaFjie2ABx4AaABAg,uʍop ǝpᴉsdn,2025-12-20T08:56:33Z,0.1192419305443763,0.8274024128913879,0.05335558578372,neutral,2
1336,UgxOJedG3i51pD5HfB54AaABAg,пусть он выходит только робин и викки чтоб не умерли иначе нетфликс закроют 😊,2025-12-19T08:26:57Z,0.0159754734486341,0.661457896232605,0.3225665688514709,neutral,14
1389,UgzvQXe5KhfjfxtVhc94AaABAg,vecna the kanda bhaji,2025-12-19T03:16:15Z,0.1076152473688125,0.8012348413467407,0.0911498814821243,neutral,4
1466,UgyqYb8ZppEPnCuCHPd4AaABAg,falta pouco 😢pra acabar,2025-12-18T21:39:21Z,0.6815060973167419,0.2967877984046936,0.0217060875147581,negative,4
1605,UgxTMTO9ot-VUbRLirZ4AaABAg,mai majak nahi uda raha drawing dekho 😊,2025-12-18T14:42:46Z,0.0034775256644934,0.3539006114006042,0.6426218152046204,positive,8
1706,UgzQqC8RFY2n_7_LEtl4AaABAg,"va te faire foutre grosse salope, vous avez tué combien de gamins vous avez enlevé combien de gamins pour alimenter et faire des films parce que vous avez pas de niveau tout le monde peut faire ça. par compte vous gagnez bien votre vie sur le dos des des gamins français, européen, blanc ou les synagogues à brooklyn, les petits américains blancs.",2025-12-18T09:50:40Z,0.0878203138709068,0.8270785808563232,0.0851011201739311,neutral,62
1792,UgzhMpqt6OQdRs52QUN4AaABAg,the demodogs are back so that means dart is back👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀,2025-12-18T05:41:31Z,0.0243332460522651,0.3752060532569885,0.6004607081413269,positive,10
1893,UgyPeoklJNMkkvuf0UR4AaABAg,don’t touch steveeeee!!!!!,2025-12-18T00:50:15Z,0.599306046962738,0.3461484014987945,0.0545455068349838,negative,3
